buffer,DOF
4.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.400000000000000000e+01
1.000000000000000000e+01,1.950000000000000000e+02
1.000000000000000000e+01,1.790000000000000000e+02
1.100000000000000000e+01,2.830000000000000000e+02
6.000000000000000000e+00,3.690000000000000000e+02
0.000000000000000000e+00,4.700000000000000000e+02
2.000000000000000000e+00,5.550000000000000000e+02
1.000000000000000000e+01,6.620000000000000000e+02
1.100000000000000000e+01,6.590000000000000000e+02
